,NAME,ADDRESS,TELEPHONE,PROVINCE,CITY,COUNTY,CODE,LON,LAT,TYPECODE,BASETYPE,SUBTYPE,CATEGORY,geometry
4696,丽水服务区,,,浙江省,丽水市,莲都区,331102,119.863739,28.493338,180300,道路附属设施,服务区,高速服务区,POINT (119.863739 28.493338)
4697,丽水服务区,,,浙江省,丽水市,莲都区,331102,119.862289,28.494385,180300,道路附属设施,服务区,高速服务区,POINT (119.862289 28.494385)
4698,莲都停车区,,,浙江省,丽水市,莲都区,331102,119.841766,28.35594,180300,道路附属设施,服务区,高速服务区,POINT (119.841766 28.35594)
4703,松阳服务区,叶村乡官田村,,浙江省,丽水市,松阳县,331124,119.437637,28.448296,180300,道路附属设施,服务区,高速服务区,POINT (119.437637 28.448296)
4704,松阳服务区,,,浙江省,丽水市,松阳县,331124,119.437119,28.446772,180300,道路附属设施,服务区,高速服务区,POINT (119.437119 28.446772)
7363,余姚服务区,宁波高速附近,,浙江省,宁波市,余姚市,330281,121.114304,30.007721,180300,道路附属设施,服务区,高速服务区,POINT (121.114304 30.007721)
7433,桐庐服务区,,,浙江省,杭州市,桐庐县,330122,119.804359,29.841797,180300,道路附属设施,服务区,高速服务区,POINT (119.804359 29.841797)
7434,桐庐服务区,,,浙江省,杭州市,桐庐县,330122,119.800377,29.841343,180300,道路附属设施,服务区,高速服务区,POINT (119.800377 29.841343)
7568,宁波服务区,下应街道潘火村,,浙江省,宁波市,鄞州区,330212,121.581291,29.839106,180300,道路附属设施,服务区,高速服务区,POINT (121.581291 29.839106)
7569,宁波服务区,下应街道潘火村,,浙江省,宁波市,鄞州区,330212,121.582481,29.839943,180300,道路附属设施,服务区,高速服务区,POINT (121.582481 29.839943)
9133,嘉兴服务区,,,浙江省,嘉兴市,秀洲区,330411,120.677841,30.622038,180300,道路附属设施,服务区,高速服务区,POINT (120.677841 30.622038)
9134,嘉兴服务区,,,浙江省,嘉兴市,秀洲区,330411,120.677216,30.620703,180300,道路附属设施,服务区,高速服务区,POINT (120.677216 30.620703)
9144,南湖服务区,南湖服务区附近,,浙江省,嘉兴市,南湖区,330402,120.934296,30.740927,180300,道路附属设施,服务区,高速服务区,POINT (120.934296 30.740927)
9145,南湖服务区,南湖服务区附近,,浙江省,嘉兴市,南湖区,330402,120.932961,30.740179,180300,道路附属设施,服务区,高速服务区,POINT (120.932961 30.740179)
9250,服务区,,,浙江省,宁波市,北仑区,330206,121.941505,29.863657,180300,道路附属设施,服务区,高速服务区,POINT (121.941505 29.863657)
9426,径山服务区,,,浙江省,杭州市,余杭区,330110,119.866951,30.402321,180300,道路附属设施,服务区,高速服务区,POINT (119.866951 30.402321)
10034,北岸服务区,杭州湾跨海大桥北首,,浙江省,嘉兴市,海盐县,330424,121.03138,30.590425,180300,道路附属设施,服务区,高速服务区,POINT (121.03138 30.590425)
10035,北岸服务区,,,浙江省,嘉兴市,海盐县,330424,121.031258,30.593458,180300,道路附属设施,服务区,高速服务区,POINT (121.031258 30.593458)
10043,平湖服务区,平湖服务区附近,,浙江省,嘉兴市,平湖市,330482,121.17749,30.697853,180300,道路附属设施,服务区,高速服务区,POINT (121.17749 30.697853)
10044,平湖服务区,新仓镇大进村,,浙江省,嘉兴市,平湖市,330482,121.177315,30.696522,180300,道路附属设施,服务区,高速服务区,POINT (121.177315 30.696522)
11078,象山服务区,,,浙江省,宁波市,象山县,330225,121.824661,29.510302,180300,道路附属设施,服务区,高速服务区,POINT (121.824661 29.510302)
11079,象山服务区,,,浙江省,宁波市,象山县,330225,121.823822,29.503214,180300,道路附属设施,服务区,高速服务区,POINT (121.823822 29.503214)
11165,桥头服务区,桥头服务区附近,,浙江省,温州市,永嘉县,330324,120.517258,28.137842,180300,道路附属设施,服务区,高速服务区,POINT (120.517258 28.137842)
11166,桥头服务区,,,浙江省,温州市,永嘉县,330324,120.517029,28.136793,180300,道路附属设施,服务区,高速服务区,POINT (120.517029 28.136793)
11167,永嘉服务区,岩头镇苍坡村,,浙江省,温州市,永嘉县,330324,120.751213,28.365503,180300,道路附属设施,服务区,高速服务区,POINT (120.751213 28.365503)
11168,永嘉服务区,岩头镇苍坡村,,浙江省,温州市,永嘉县,330324,120.748833,28.365337,180300,道路附属设施,服务区,高速服务区,POINT (120.748833 28.365337)
11404,服务区,,,浙江省,衢州市,常山县,330822,118.738907,29.172594,180302,道路附属设施,服务区,高速停车区,POINT (118.738907 29.172594)
11407,芳村停车区,芳村停车区附近,,浙江省,衢州市,常山县,330822,118.61528,29.009485,180302,道路附属设施,服务区,高速停车区,POINT (118.61528 29.009485)
11408,芳村停车区,,,浙江省,衢州市,常山县,330822,118.616692,29.008579,180300,道路附属设施,服务区,高速服务区,POINT (118.616692 29.008579)
11409,常山服务区,,,浙江省,衢州市,常山县,330822,118.46109,28.90983,180300,道路附属设施,服务区,高速服务区,POINT (118.46109 28.90983)
11413,球川停车区,球川停车区附近,,浙江省,衢州市,常山县,330822,118.356583,28.816425,180300,道路附属设施,服务区,高速服务区,POINT (118.356583 28.816425)
11414,常山服务区,,,浙江省,衢州市,常山县,330822,118.462448,28.911917,180300,道路附属设施,服务区,高速服务区,POINT (118.462448 28.911917)
11467,灵溪服务区,,,浙江省,衢州市,龙游县,330825,119.142693,28.910477,180300,道路附属设施,服务区,高速服务区,POINT (119.142693 28.910477)
11471,龙游服务区,,,浙江省,衢州市,龙游县,330825,119.151573,29.178356,180300,道路附属设施,服务区,高速服务区,POINT (119.151573 29.178356)
